"Regulation of meiotic S phase by Ime2 and a Clb5,6-associated kinase in Saccharomyces cerevisiae.";"Science";1998
"SDC25, a CDC25-like gene which contains a RAS-activating domain and is a dispensable gene of Saccharomyces cerevisiae.";"Mol Cell Biol";1991
"Adherence of an enterotoxigenic Escherichia coli strain, serotype O78:H11, to purified human intestinal brush borders.";"Infect Immun";1983
"Decreased conjugation efficiency by Fla-mutants of Escherichia coli K-12 bearing F-like plasmids.";"Microbios";1978
"Activation of Ste20 by Nef from human immunodeficiency virus induces cytoskeletal rearrangements and downstream effector functions in Saccharomyces cerevisiae.";"Virology";1999
"Functional characterization of the Cdc42p binding domain of yeast Ste20p protein kinase.";"EMBO J";1997
"Development of vaccines for bacterial diseases using recombinant DNA technology.";"Avian Dis";1986
"Differential expression of the small GTP-binding proteins RhoA, RhoB, Cdc42u and Cdc42b in developing rat neocortex.";"Brain Res Mol Brain Res";1999
"Identification of a nuclear pheromone-sensitive protein kinase not identical to p34CDC28 in Saccharomyces cerevisiae.";"FEMS Microbiol Lett";1993
"Immunochemical characterization of P pili from invasive Escherichia coli.";"Infect Immun";1985
"New Method for isolation of immunologically pure pili from Escherichia coli.";"Infect Immun";1980
"Influence of the 60-megadalton plasmid on adherence of Escherichia coli O157:H7 and genetic derivatives.";"Infect Immun";1990
"[Mobilization for transfer of the nonconjugative plasmid pAP/57Hly by different conjugative plasmids].";"Biull Eksp Biol Med";1984
"Pilus colonization factors of enterotoxigenic Escherichia coli isolated from infantile diarrheal patients in Papua New Guinea.";"Am J Trop Med Hyg";1989
"Occurrence of colonization factor antigens I & II in enterotoxigenic Escherichia coli associated diarrhoea in Iran & correlation with severity of disease.";"Indian J Med Res";1992
"Control over the onset of DNA synthesis in fission yeast.";"Philos Trans R Soc Lond B Biol Sci";1987
"Evidence for the involvement of ribonucleic acid in the production of F pili.";"J Bacteriol";1976
"Mannose-sensitive and mannose-resistant adherence to human uroepithelial cells and urinary virulence of Escherichia coli.";"Infect Immun";1980
"Iqg1p, a yeast homologue of the mammalian IQGAPs, mediates cdc42p effects on the actin cytoskeleton.";"J Cell Biol";1998
"A family of cyclin-like proteins that interact with the Pho85 cyclin-dependent kinase.";"Mol Cell Biol";1997
"DNA metabolism gene CDC7 from yeast encodes a serine (threonine) protein kinase.";"Proc Natl Acad Sci U S A";1990
"Transcription factors important for starting the cell cycle in yeast.";"Philos Trans R Soc Lond B Biol Sci";1993
"In vitro reconstitution of cdc25 regulated S. cerevisiae adenylyl cyclase and its kinetic properties.";"EMBO J";1990
"Analysis of genetic interactions between DHH1, SSD1 and ELM1 indicates their involvement in cellular morphology determination in Saccharomyces cerevisiae.";"Yeast";1999
"Another Colicin V phenotype: in vitro adhesion of Escherichia coli to mouse intestinal epithelium.";"Infect Immun";1981
"Mannose-resistant hemagglutination, enzyme-linked immunosorbent assay, and immune electron microscopy for detection of K99 fimbrial antigen in Escherichia coli from calves.";"J Clin Microbiol";1989
"Activation of S-phase-promoting CDKs in late G1 defines a "point of no return" after which Cdc6 synthesis cannot promote DNA replication in yeast.";"Genes Dev";1996
"Production of pili on Vibrio parahaemolyticus.";"Can J Microbiol";1988
"Autoinhibition and activation mechanisms of the Wiskott-Aldrich syndrome protein.";"Nature";2000
"Cell cycle: reaching for a role for the Cks proteins.";"Curr Biol";1996
"Location of F plasmid transfer operon genes traC and traW and identification of the traW product.";"J Bacteriol";1987
"A salmonella protein antagonizes Rac-1 and Cdc42 to mediate host-cell recovery after bacterial invasion.";"Nature";1999
"Restriction enzyme map of cryptic plasmid accompanying pR711b and pR409; identity of pR409 and pR388.";"J Basic Microbiol";1986
"Attachment pili from enterotoxigenic Escherichia coli pathogenic for humans.";"Infect Immun";1979
"Specification of sites for polarized growth in Saccharomyces cerevisiae and the influence of external factors on site selection.";"Mol Biol Cell";1992
"Inhibition of Flac transfer by the fin+ I-like plasmid R62.";"J Bacteriol";1974
"Relationship of type 1 pilus expression in Escherichia coli to ascending urinary tract infections in mice.";"Infect Immun";1987
"An inhibitor of p34CDC28 protein kinase activity from Saccharomyces cerevisiae.";"Science";1993
"Cla4p, a Saccharomyces cerevisiae Cdc42p-activated kinase involved in cytokinesis, is activated at mitosis.";"Mol Cell Biol";1997
"Subcellular localization of Cdc42p, a Saccharomyces cerevisiae GTP-binding protein involved in the control of cell polarity.";"Mol Biol Cell";1993
"The role of Far1p in linking the heterotrimeric G protein to polarity establishment proteins during yeast mating.";"Science";1998
"Crystal structure and mutational analysis of the human CDK2 kinase complex with cell cycle-regulatory protein CksHs1.";"Cell";1996
"Cloning and expression in Escherichia coli of LKP pilus genes from a nontypeable Haemophilus influenzae strain.";"Infect Immun";1990
"CDC15, an essential cell cycle gene in Saccharomyces cerevisiae, encodes a protein kinase domain.";"Yeast";1991
"Regulation of G2/M progression by the STE mitogen-activated protein kinase pathway in budding yeast filamentous growth.";"Mol Biol Cell";1999
"Mating-defective ste mutations are suppressed by cell division cycle start mutations in Saccharomyces cerevisiae.";"Mol Cell Biol";1982
"Genetic analysis of the relationship between activation loop phosphorylation and cyclin binding in the activation of the Saccharomyces cerevisiae Cdc28p cyclin-dependent kinase.";"Genetics";2000
"Osmoregulatory transporter ProP influences colonization of the urinary tract by Escherichia coli.";"Microbiology";1998
"Bacterial adherence and mucosal cytokine responses. Receptors and transmembrane signaling.";"Ann N Y Acad Sci";1996
"Sex pili as immunogens.";"J Gen Microbiol";1975
"Characteristics of adherence of enteroaggregative Escherichia coli to human and animal mucosa.";"Infect Immun";1991
"Effect on exclusion of alterations to the sex pilus.";"J Bacteriol";1973
"The effect of postnatal age on the adherence of Shigella flexneri, Escherichia coli 0124, and E. coli 0128 to guinea pig intestinal cells.";"Pediatr Res";1984
"Synthesis of F-pilin polypeptide in the absence of F traJ product.";"Plasmid";1984
"Effects of perorally applied endotoxin on colonic mucins of germfree rats.";"Scand J Gastroenterol";1996
"[The role of the ability of Sh. flexneri to synthesize pili of the common type in the development of dysenteric infections].";"Zh Mikrobiol Epidemiol Immunobiol";1975
"Mouse A6/twinfilin is an actin monomer-binding protein that localizes to the regions of rapid actin dynamics.";"Mol Cell Biol";2000
"Genetic complementation analysis of Escherichia coli type 1 somatic pilus mutants.";"J Bacteriol";1977
"Two functional soybean genes encoding p34cdc2 protein kinases are regulated by different plant developmental pathways.";"Proc Natl Acad Sci U S A";1993
"Type IV pili are involved in plant-microbe and fungus-microbe interactions.";"Mol Microbiol";1998
"Mutational analysis of Cak1p, an essential protein kinase that regulates cell cycle progression.";"Mol Gen Genet";1997
"Cell division transforms mutagenic lesions into deletion-recombinagenic lesions in yeast cells.";"Mutat Res";1999
"Interaction between pap-encoded pilin and adhesin gene products of uropathogenic Escherichia coli.";"Rev Infect Dis";1988
"Type I pili mediate gram-negative bacterial adherence to intact tracheal epithelium.";"Am J Respir Cell Mol Biol";1990
"Synthesis of F pilin.";"J Bacteriol";1993
"Ubiquitination of the G1 cyclin Cln2p by a Cdc34p-dependent pathway.";"EMBO J";1995
"Genetic and transcriptional analyses of the Vibrio cholerae mannose-sensitive hemagglutinin type 4 pilus gene locus.";"J Bacteriol";1999
"Transitory derepression and the maintenance of conjugative plasmids.";"Genetics";1986
"Purification and chemical characterization of type 1 pili isolated from Klebsiella pneumoniae.";"J Biol Chem";1982
"The DAC2/FUS3 protein kinase is not essential for transcriptional activation of the mating pheromone response pathway in Saccharomyces cerevisiae.";"Mol Gen Genet";1992
"[Continuous and common epitopes present in fimbriae of enterotoxigenic Escherichia coli (ETEC)].";"Gac Med Mex";1997
"The secretory pathway mediates localization of the cell polarity regulator Aip3p/Bud6p.";"Mol Biol Cell";2000
"Effects of temperature and energy inhibitors on complex formation between Escherichia coli male cells and filamentous phage fd.";"J Gen Microbiol";1980
"Adhesion of piliated Escherichia coli strains to phagocytes: differences between bacteria with mannose-sensitive pili and those with mannose-resistant pili.";"Infect Immun";1982
"Hemagglutination by pilus antigen 987P of enterotoxigenic Escherichia coli.";"Microbiol Immunol";1987
"Control of the yeast bud-site assembly GTPase Cdc42. Catalysis of guanine nucleotide exchange by Cdc24 and stimulation of GTPase activity by Bem3.";"J Biol Chem";1994
"Colonization of porcine small intestine by Escherichia coli: colonization and adhesion factors of pig enteropathogens that lack K88.";"J Infect Dis";1977
"Use of a screen for synthetic lethal and multicopy suppressee mutants to identify two new genes involved in morphogenesis in Saccharomyces cerevisiae.";"Mol Cell Biol";1991
"Molecular cloning and characterization of Drosophila genes encoding small GTPases of the rab and rho families.";"Mol Gen Genet";1997
"Synthesis of unusual thick pili by Escherichia coli of EPEC serogroup O119.";"FEMS Microbiol Lett";1992
"Cdc42 and Rac1 induce integrin-mediated cell motility and invasiveness through PI(3)K.";"Nature";1997
"Virulence properties and clonal structures of strains of Escherichia coli O119 serotypes.";"Infect Immun";1997
"Residues of the Rho family GTPases Rho and Cdc42 that specify sensitivity to Dbl-like guanine nucleotide exchange factors.";"J Biol Chem";1997
"Identification and localization of the Tgl protein, which is required for Myxococcus xanthus social motility.";"J Bacteriol";1997
"The unique conjugation system of IncHI3 plasmid MIP233.";"Plasmid";1986
"Expression of type 1 pili by Escherichia coli strains of high and low virulence in the intestinal tract of gnotobiotic turkeys.";"Am J Vet Res";1985
"Isolation and nucleotide sequence of a Saccharomyces cerevisiae protein kinase gene suppressing the cell cycle start mutation cdc25.";"J Biol Chem";1987
"[Pathogenetic aspects of urinary tract infection].";"Wien Med Wochenschr";1997
"Effect of detergents on pathogenicity plasmids of escherichias.";"J Hyg Epidemiol Microbiol Immunol";1988
"Spatial regulation of exocytosis: lessons from yeast.";"J Cell Biol";1998
"Major antigenic determinants of F and ColB2 pili.";"J Bacteriol";1985
"Demonstration of enterotoxigenic Escherichia coli in diarrheic broiler chicks.";"Eur J Epidemiol";1990
"[Features of expression of the genetic region of plasmid pAP42, controlling the synthesis of "sex" pili and surface exclusion system in various E. coli cells].";"Biull Eksp Biol Med";1993
"Type IV prepilin peptidase gene of Neisseria gonorrhoeae MS11: presence of a related gene in other piliated and nonpiliated Neisseria strains.";"J Bacteriol";1994
"The Saccharomyces cerevisiae CDC25 gene product is a 180 kDa polypeptide and is associated with a membrane fraction.";"FEBS Lett";1990
"Assembly of complex organelles: pilus biogenesis in gram-negative bacteria as a model system.";"Methods";2000
"In vitro adherence of Escherichia coli to endometrial epithelial cells of rats and influence of estradiol.";"Infect Immun";1985
"Adhesion of enterotoxigenic Escherichia coli in humans and animals.";"Ciba Found Symp";1981
"Mutational analysis of CDC42Sc, a Saccharomyces cerevisiae gene that encodes a putative GTP-binding protein involved in the control of cell polarity.";"Mol Cell Biol";1991
"Homologous activators of ras in fission and budding yeast.";"Nature";1990
"Expression in Yersinia enterocolitica of K99 antigen gene of Escherichia coli.";"Sci Sin B";1988
"P40SDB25, a putative CDK inhibitor, has a role in the M/G1 transition in Saccharomyces cerevisiae.";"Genes Dev";1994
"DNA sequences of three papA genes from uropathogenic Escherichia coli strains: evidence of structural and serological conservation.";"Infect Immun";1991
"FinOP repression of the F plasmid involves extension of the half-life of FinP antisense RNA by FinO.";"Mol Gen Genet";1992
"PAK-family kinases regulate cell and actin polarization throughout the cell cycle of Saccharomyces cerevisiae.";"J Cell Biol";1999
"Location and distribution of a receptor for the 987P pilus of Escherichia coli in small intestines.";"Infect Immun";1985
"Molecular cloning and characterization of a novel human STE20-like kinase, hSLK.";"Biochim Biophys Acta";2000
"Residues crucial for Ras interaction with GDP-GTP exchangers.";"Proc Natl Acad Sci U S A";1993
"Identification and characterization of ComE and ComF, two novel pilin-like competence factors involved in natural transformation of Acinetobacter sp. strain BD413.";"Appl Environ Microbiol";1999
"The fimbriae of human enterotoxigenic Escherichia coli strain 334 are related to CS5 fimbriae.";"J Gen Microbiol";1990
"Associations among PH and SH3 domain-containing proteins and Rho-type GTPases in Yeast.";"J Cell Biol";1996
"Analysis of the MSS51 region on chromosome XII of Saccharomyces cerevisiae.";"Yeast";1992
"The isolation from a unicellular organism, Dictyostelium discoideum, of a highly-related cdc2 gene with characteristics of the PCTAIRE subfamily.";"Biochim Biophys Acta";1993
"Distinct roles of yeast MEC and RAD checkpoint genes in transcriptional induction after DNA damage and implications for function.";"Mol Biol Cell";1996
"Cloning of the genes that control formation of the fimbrial colonization factor antigen III (CFA/III) from an enterotoxigenic Escherichia coli.";"Microbiol Immunol";1993
"Uropathogenic Escherichia coli can express serologically identical pili of different receptor binding specificities.";"Mol Microbiol";1988
"Prevention of alterations in the transport of nutrients in pyelonephritic rats by immunization with pili.";"Biochem Int";1987
"Vaccines for preventing enterotoxigenic Escherichia coli infections in farm animals.";"Vaccine";1993
"Correlation between uropathogenic properties of Escherichia coli from urinary tract infections and the antibody-coated bacteria test and comparison with faecal strains.";"J Hyg (Lond)";1981
"Effect of Lewis blood group antigen expression on bacterial adherence to COS-1 cells.";"Infect Immun";1994
"Proteinaceous bacterial adhesins and their receptors.";"Crit Rev Microbiol";1983
"Molecular cloning of Proteus mirabilis uroepithelial cell adherence (uca) genes.";"Infect Immun";1995
"Altered fidelity of mitotic chromosome transmission in cell cycle mutants of S. cerevisiae.";"Genetics";1985
"Involvement of the CDC25 gene product in the signal transmission pathway of the glucose-induced RAS-mediated cAMP signal in the yeast Saccharomyces cerevisiae.";"J Gen Microbiol";1991
"A novel chromosomal locus of enteropathogenic Escherichia coli (EPEC), which encodes a bfpT-regulated chaperone-like protein, TrcA, involved in microcolony formation by EPEC.";"Mol Microbiol";1999
"Towards a structural biology of bacterial conjugation.";"Mol Microbiol";1997
"Nuclear sequestration of the exchange factor Cdc24 by Far1 regulates cell polarity during yeast mating.";"Nat Cell Biol";2000
"Kinetic studies of the interaction between MS2 phage and F pilus of Escherichia coli.";"Eur J Biochem";1979
"Mutants of H-ras that interfere with RAS effector function in Saccharomyces cerevisiae.";"EMBO J";1989
"Autophosphorylation and protein kinase activity of p21-activated protein kinase gamma-PAK are differentially affected by magnesium and manganese.";"Biochemistry";1998
"BfpB, an outer membrane lipoprotein required for the biogenesis of bundle-forming pili in enteropathogenic Escherichia coli.";"J Bacteriol";1996
"Phosphorylation of tau protein by purified p34cdc28 and a related protein kinase from neurofilaments.";"J Biol Chem";1992
"[Ras proteins in Saccharomyces cerevisiae, their partners and their activation].";"C R Seances Soc Biol Fil";1997
"Protein secretion in Escherichia coli K-12: dead or alive?";"Cell Mol Life Sci";1998
"The CDC25 "Start" gene of Saccharomyces cerevisiae: sequencing of the active C-terminal fragment and regional homologies with rhodopsin and cytochrome P450.";"Curr Genet";1986
"Adhesion inhibition by antibodies.";"Scand J Infect Dis Suppl";1982
"Binding of the fibrillar CS3 adhesin of enterotoxigenic Escherichia coli to rabbit intestinal glycoproteins is competitively prevented by GalNAc beta 1-4Gal-containing glycoconjugates.";"Infect Immun";1995
"Variant pili produced by mutants of the Flac plasmid.";"J Gen Microbiol";1980
"Analysis of the type 1 pilin gene cluster fim in Salmonella: its distinct evolutionary histories in the 5' and 3' regions.";"J Bacteriol";1999
"Simian virus 40 large T antigen affects the Saccharomyces cerevisiae cell cycle and interacts with p34CDC28.";"J Virol";1995
"Specification of the conjugative pili and surface mating systems of Pseudomonas plasmids.";"J Gen Microbiol";1983
"Cell cycle-dependent phosphorylation of the 77 kDa echinoderm microtubule-associated protein (EMAP) in vivo and association with the p34cdc2 kinase.";"J Cell Sci";1996
"Signal peptide amino acid sequences in Escherichia coli contain information related to final protein localization. A multivariate data analysis.";"EMBO J";1987
"Nucleotide sequence of pilA, the gene encoding the structural component of type 1 pili in Escherichia coli.";"J Bacteriol";1985
"Oligomeric interaction of the PapB transcriptional regulator with the upstream activating region of pili adhesin gene promoters in Escherichia coli.";"Mol Microbiol";1998
"Effect of amino acids on expression of K99 adherence pili by Escherichia coli.";"Vet Microbiol";1986
"Characterization, localization, and sequence of F transfer region products: the pilus assembly gene product TraW and a new product, TrbI.";"J Bacteriol";1992
"[Radiosensitivity of Saccharomyces yeasts and srm genes: effects of srm1 and srm5 mutations].";"Genetika";1998
"Once and only once upon a time: specifying and regulating origins of DNA replication in eukaryotic cells.";"Genes Dev";1996
"Structure-function relationships of the yeast cyclin-dependent kinase Pho85.";"Mol Cell Biol";1995
"Yeast cells recover from mating pheromone alpha factor-induced division arrest by desensitization in the absence of alpha factor destruction.";"J Biol Chem";1984
"[Structures and hemagglutinating functions of pili K99 with glucose-dependent or constitutive biosynthesis and of pili F41].";"Ann Microbiol (Paris)";1983
"The cyclin family of budding yeast: abundant use of a good idea.";"Trends Genet";1998
"Subcellular localization of a protein kinase required for cell cycle initiation in Saccharomyces cerevisiae: evidence for an association between the CDC28 gene product and the insoluble cytoplasmic matrix.";"J Cell Biol";1987
"Nucleotide sequence of the yeast cell division cycle start genes CDC28, CDC36, CDC37, and CDC39, and a structural analysis of the predicted products.";"Nucleic Acids Res";1986
"Regulated and constitutive activity by CDC25Mm (GRF), a Ras-specific exchange factor.";"Mol Cell Biol";1993
"Escherichia coli 987P pilus: purification and partial characterization.";"J Bacteriol";1981
"Structure of TcpG, the DsbA protein folding catalyst from Vibrio cholerae.";"J Mol Biol";1997
"Solid-phase binding of clinical isolates of Escherichia coli expressing different piliation phenotypes. Effect of glycosaminoglycans.";"Urol Res";1995
"Isolation of the gene encoding pilin of Bacteroides nodosus (strain 198), the causal organism of ovine footrot.";"FEBS Lett";1984
"Differences in hydrophobic surface characteristics of porcine enteropathogenic Escherichia coli with or without K88 antigen as revealed by hydrophobic interaction chromatography.";"Infect Immun";1978
"Role of sog polypeptides specified by plasmid ColIb-P9 and their transfer between conjugating bacteria.";"EMBO J";1986
"Different functions of Smg GDP dissociation stimulator and mammalian counterpart of yeast Cdc25.";"J Biol Chem";1994
"Temperature dependence of mating-pair formation in Escherichia coli.";"J Bacteriol";1976
"A new method for the extraction and purification of K99 pili from enterotoxigenic Escherichia coli and their characterization.";"Biochem J";1982
"Zuotin, a putative Z-DNA binding protein in Saccharomyces cerevisiae.";"EMBO J";1992
"The identification and characterization of a GDP-dissociation inhibitor (GDI) for the CDC42Hs protein.";"J Biol Chem";1992
"PapD chaperone function in pilus biogenesis depends on oxidant and chaperone-like activities of DsbA.";"Proc Natl Acad Sci U S A";1994
"Phages I alpha and I2-2: IncI plasmid-dependent bacteriophages.";"J Gen Microbiol";1982
"The human Cdc14 phosphatases interact with and dephosphorylate the tumor suppressor protein p53.";"J Biol Chem";2000
"Reduced ubiquitin-dependent degradation of c-Jun after phosphorylation by MAP kinases.";"Science";1997
"Destruction of the CDC28/CLB mitotic kinase is not required for the metaphase to anaphase transition in budding yeast.";"EMBO J";1993
"Mitotic role for the Cdc28 protein kinase of Saccharomyces cerevisiae.";"Proc Natl Acad Sci U S A";1990
"The many roads that lead to Ras.";"Science";1993
"Accumulation of cyclin B1, activation of cyclin B1-dependent kinase and induction of programmed cell death in human epidermoid carcinoma KB cells treated with taxol.";"Int J Cancer";1998
"Novel Cdc42-binding proteins Gic1 and Gic2 control cell polarity in yeast.";"Genes Dev";1997
"Identification, expression and chromosome localization of a human gene encoding a novel protein with similarity to the pilB family of transcriptional factors (pilin) and to bacterial peptide methionine sulfoxide reductases.";"Gene";1999
"The Ras GTPase-activating-protein-related human protein IQGAP2 harbors a potential actin binding domain and interacts with calmodulin and Rho family GTPases.";"Mol Cell Biol";1996
"Functional cloning of BUD5, a CDC25-related gene from S. cerevisiae that can suppress a dominant-negative RAS2 mutant.";"Cell";1991
"Polyamine biosynthesis in Escherichia coli: construction of polyamine-deficient mutants.";"Med Biol";1981
"Closing the cell cycle circle in yeast: G2 cyclin proteolysis initiated at mitosis persists until the activation of G1 cyclins in the next cycle.";"Cell";1994
"Cell cycle regulated transcription in yeast.";"Curr Opin Cell Biol";1994
"Cell-cell interactions in conjugating Escherichia coli: role of F pili and fate of mating aggregates.";"J Bacteriol";1978
"A conserved residue in the tip proteins of CS1 and CFA/I pili of enterotoxigenic Escherichia coli that is essential for adherence.";"Proc Natl Acad Sci U S A";1999
"Rapid identification of colonization factor antigens I & II of enterotoxigenic Escherichia coli by coagglutination test.";"Indian J Med Res";1995
"Regulation of Pap phase variation. Lrp is sufficient for the establishment of the phase off pap DNA methylation pattern and repression of pap transcription in vitro.";"J Biol Chem";2000
"Phase variation of type 1 fimbriae in Escherichia coli is under transcriptional control.";"Science";1981
"Molecular basis of Escherichia coli colonization of the upper urinary tract in BALB/c mice. Gal-Gal pili immunization prevents Escherichia coli pyelonephritis in the BALB/c mouse model of human pyelonephritis.";"J Clin Invest";1985
"Type 1 fimbrial expression enhances Escherichia coli virulence for the urinary tract.";"Proc Natl Acad Sci U S A";1996
"[Analysis of maintenance of redundant genetic structures in the yeast Saccharomyces cerevisiae: effect of mutations cdc28-srm and srm1].";"Genetika";1995
"SPO13 negatively regulates the progression of mitotic and meiotic nuclear division in Saccharomyces cerevisiae.";"Genetics";1994
"A new monoclonal antibody against p34 CDC28.";"Folia Biol (Praha)";1998
"Dephosphorylation of cyclin-dependent kinases by type 2C protein phosphatases.";"Genes Dev";1999
"Natural competence for DNA transformation by Legionella pneumophila and its association with expression of type IV pili.";"J Bacteriol";1999
"Drosophila cdc2 homologs: a functional homolog is coexpressed with a cognate variant.";"EMBO J";1990
"The role of the pilus in recipient cell recognition during bacterial conjugation mediated by F-like plasmids.";"Mol Microbiol";1994
"Regulation of production of type 1 pili among urinary tract isolates of Escherichia coli.";"Infect Immun";1986
"MSE55, a Cdc42 effector protein, induces long cellular extensions in fibroblasts.";"Proc Natl Acad Sci U S A";1999
"Association of the Rho family small GTP-binding proteins with Rho GDP dissociation inhibitor (Rho GDI) in Saccharomyces cerevisiae.";"Oncogene";1997
"An altered nuclear migration into the daughter bud is induced by the cyclin A1-mediated Cdc28 kinase through an aberrant spindle movement in Saccharomyces cerevisiae.";"Cell Struct Funct";1997
"Human p21-activated kinase (Pak1) regulates actin organization in mammalian cells.";"Curr Biol";1997
"Age-dependent variation in the density and affinity of Escherichia coli heat-stable enterotoxin receptors in mice.";"Adv Exp Med Biol";1999
"Horizontal gene transfer of the Escherichia coli pap and prs pili operons as a mechanism for the development of tissue-specific adhesive properties.";"Mol Microbiol";1992
"Yeast homolog of mammalian mitogen-activated protein kinase, FUS3/DAC2 kinase, is required both for cell fusion and for G1 arrest of the cell cycle and morphological changes by the cdc37 mutation.";"J Cell Sci";1994
"[The role of bacterial adhesion in urinary tract infections].";"Urologe A";1993
"The role of bacterial virulence factors and Tamm-Horsfall protein in the pathogenesis of Escherichia coli urinary tract infection in infants.";"Am J Dis Child";1987
"Recombinant DNA technology for the preparation of subunit vaccines.";"J Am Vet Med Assoc";1982
"Specific early-G1 blocks accompanied with stringent response in Saccharomyces cerevisiae lead to growth arrest in resting state similar to the G0 of higher eucaryotes.";"J Cell Biol";1984
"Primary and secondary in vitro immune response of the rabbit Peyer's patch and spleen to RDEC-1 pili.";"Clin Immunol Immunopathol";1985
"A novel mammalian protein kinase gene (mak) is highly expressed in testicular germ cells at and after meiosis.";"Mol Cell Biol";1990
"Nucleotide sequence of the structural gene for class I pilin from Neisseria meningitidis: homologies with the pilE locus of Neisseria gonorrhoeae.";"Mol Microbiol";1988
"Evidence for specificity in type 4 pilus biogenesis by enteropathogenic Escherichia coli.";"Microbiology";2000
"A brain serine/threonine protein kinase activated by Cdc42 and Rac1.";"Nature";1994
"Recognitory bacterial surface lectins which mediate its mannose-specific adherence to eukaryotic cells.";"Biol Cell";1984
"Membrane insertion of the F-pilin subunit is Sec independent but requires leader peptidase B and the proton motive force.";"J Bacteriol";1996
"Regulation of Saccharomyces cerevisiae CDC7 function during the cell cycle.";"Mol Biol Cell";1993
"Analysis of the Cdc28 protein kinase complex by dosage suppression.";"J Cell Sci Suppl";1989
"Evidence that a free-running oscillator drives G1 events in the budding yeast cell cycle.";"Nature";1999
"Budding yeast mutants showing constitutive basal levels of expression of DNA synthesis genes.";"Mol Gen Genet";1993
"Rapid site-specific DNA inversion in Escherichia coli mutants lacking the histonelike protein H-NS.";"J Bacteriol";1991
"Structure and function of the protein tyrosine phosphatases.";"Trends Biochem Sci";1996
"Identification of the mucin-binding adhesin of Pseudomonas cepacia isolated from patients with cystic fibrosis.";"Infect Immun";1992
